Device,xxx_xxx_x_x_connection_type,xxx_xxx_x_x_ssid,xxx_xxx_x_x_bssid,macbook_pro_21_connection_type,macbook_pro_21_bssid,macbook_pro_21_ssid,smaller_black_slab_ssid,smaller_black_slab_bssid,smaller_black_slab_connection_type,daniels_ipad_bssid,daniels_ipad_connection_type,daniels_ipad_ssid
xxx.xxx.x.x,Wi-Fi,Not Connected,Not Connected,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported
MacBook,Not Reported,Not Reported,Not Reported,Wi-Fi,68:02:b8:37:5e:42,Ziggo2429736,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported
Smaller,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,unavailable,unavailable,unavailable,Not Reported,Not Reported,Not Reported
Daniel’s,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,90:9a:4a:f5:89:2f,Wi-Fi,WorkFromHome
